mass,total_width,bb,tautau,mumu,cc,ss,tt,gg,gammagamma,Zgamma,WW,ZZ,4l_l_any,4l_l_e_mu,4e,2e2mu,2l2nu_l_any_nu_any,2l2nu_l_e_mu_nu_any,enue_enue,enue_munumu,2l2q_l_any_q_any,2l2q_l_e_mu_q_any,lnuqq_l_any_q_any,lnuqq_l_e_mu_q_any,2nu2q_nu_any_q_any,4f_f_any
80.0,0.00199,8.24E-01,8.27E-02,0.000287,0.0418,0.000353,0,0.0494,0.000918,0,0.000627,0.000164,0.00000198,0.000000944,0.000000286,0.000000373,0.0000628,0.0000272,0.00000471,0.00000735,0.0000235,0.0000157,0.000092,0.0000471,0.000323,0.000743
81.0,0.00201,8.23E-01,8.27E-02,0.000288,0.0417,0.000352,0,0.0505,0.000946,0,0.000696,0.000181,0.00000217,0.00000104,0.000000313,0.00000041,0.0000698,0.0000302,0.00000525,0.00000817,0.0000258,0.0000172,0.000102,0.0000517,0.000359,0.000824
82.0,0.00204,8.21E-01,8.28E-02,0.000288,0.0416,0.000352,0,0.0517,0.000974,0,0.000774,0.000199,0.00000238,0.00000114,0.000000343,0.00000045,0.0000776,0.0000336,0.00000587,0.00000907,0.0000283,0.0000189,0.000113,0.0000567,0.000399,0.000915
83.0,0.00206,8.20E-01,8.29E-02,0.000288,0.0416,0.000351,0,0.0528,0.001,0,0.000861,0.000218,0.00000261,0.00000124,0.000000375,0.000000493,0.0000864,0.0000374,0.00000658,0.0000101,0.000031,0.0000207,0.000126,0.0000622,0.000444,0.00102
84.0,0.00208,8.19E-01,8.30E-02,0.000288,0.0415,0.000351,0,0.054,0.00103,0,0.000961,0.00024,0.00000285,0.00000136,0.00000041,0.00000054,0.0000964,0.0000417,0.0000074,0.0000113,0.000034,0.0000227,0.000141,0.0000682,0.000496,0.00113
85.0,0.00211,8.17E-01,8.30E-02,0.000289,0.0414,0.00035,0,0.0551,0.00106,0,0.00108,0.000263,0.00000312,0.00000149,0.000000449,0.000000592,0.000108,0.0000468,0.00000836,0.0000126,0.0000373,0.0000249,0.000158,0.0000747,0.000554,0.00126
86.0,0.00213,8.16E-01,8.31E-02,0.000289,0.0413,0.000349,0,0.0563,0.00109,0,0.00121,0.000288,0.00000342,0.00000163,0.000000491,0.000000649,0.000122,0.0000527,0.00000951,0.0000142,0.0000408,0.0000272,0.000177,0.0000819,0.000622,0.00142
87.0,0.00215,8.15E-01,8.31E-02,0.000289,0.0413,0.000349,0,0.0575,0.00112,0,0.00137,0.000316,0.00000374,0.00000178,0.000000537,0.000000709,0.000138,0.0000597,0.0000109,0.000016,0.0000447,0.0000298,0.0002,0.0000897,0.000703,0.0016
88.0,0.00218,8.13E-01,8.32E-02,0.000289,0.0412,0.000348,0,0.0587,0.00115,0,0.00156,0.000347,0.00000409,0.00000195,0.000000587,0.000000776,0.000157,0.0000682,0.0000127,0.0000183,0.0000489,0.0000326,0.000228,0.0000982,0.000798,0.00181
89.0,0.0022,8.12E-01,8.32E-02,0.000289,0.0411,0.000347,0,0.0599,0.00119,0,0.00179,0.00038,0.00000448,0.00000213,0.000000642,0.000000852,0.000181,0.0000786,0.0000148,0.000021,0.0000537,0.0000358,0.000262,0.000108,0.000913,0.00207
90.0,0.00222,8.10E-01,8.33E-02,0.000289,0.041,0.000347,0,0.0612,0.00122,0,0.00207,0.000417,0.00000489,0.00000233,0.000000701,0.00000093,0.00021,0.0000912,0.0000175,0.0000243,0.0000587,0.0000391,0.000303,0.000118,0.00105,0.00237
91.0,0.00225,8.09E-01,8.33E-02,0.000289,0.0409,0.000346,0,0.0624,0.00125,0,0.00241,0.000457,0.00000536,0.00000255,0.000000767,0.00000102,0.000245,0.000107,0.0000209,0.0000283,0.0000643,0.0000429,0.000353,0.000129,0.00122,0.00275
92.0,0.00227,8.07E-01,8.33E-02,0.000289,0.0408,0.000345,0,0.0636,0.00129,5.09E-08,0.00283,0.000502,0.00000586,0.00000279,0.000000838,0.00000112,0.000288,0.000125,0.000025,0.0000332,0.0000704,0.0000469,0.000414,0.000141,0.00142,0.0032
93.0,0.0023,8.05E-01,8.33E-02,0.000289,0.0407,0.000344,0,0.0649,0.00132,0.000000517,0.00333,0.00055,0.00000642,0.00000306,0.000000916,0.00000122,0.00034,0.000149,0.0000302,0.0000391,0.0000772,0.0000515,0.000488,0.000155,0.00167,0.00374
94.0,0.00232,8.03E-01,8.33E-02,0.000289,0.0406,0.000344,0,0.0661,0.00136,0.00000185,0.00394,0.000605,0.00000704,0.00000335,0.000001,0.00000134,0.000403,0.000176,0.0000365,0.0000462,0.0000847,0.0000565,0.000577,0.00017,0.00196,0.00439
95.0,0.00235,8.01E-01,8.32E-02,0.000289,0.0405,0.000343,0,0.0674,0.00139,0.00000448,0.00468,0.000665,0.00000773,0.00000367,0.0000011,0.00000148,0.00048,0.00021,0.0000442,0.0000549,0.0000931,0.0000621,0.000685,0.000187,0.00232,0.00517
96.0,0.00237,7.99E-01,8.32E-02,0.000289,0.0404,0.000342,0,0.0687,0.00143,0.00000878,0.00555,0.000733,0.00000849,0.00000403,0.0000012,0.00000163,0.000572,0.000251,0.0000535,0.0000652,0.000103,0.0000684,0.000814,0.000206,0.00274,0.00611
97.0,0.0024,7.97E-01,8.31E-02,0.000289,0.0403,0.000341,0,0.0699,0.00146,0.0000151,0.0066,0.000811,0.00000936,0.00000444,0.00000132,0.0000018,0.000681,0.000299,0.0000647,0.0000775,0.000113,0.0000755,0.000966,0.000227,0.00324,0.00721
98.0,0.00243,7.95E-01,8.31E-02,0.000288,0.0402,0.00034,0,0.0712,0.0015,0.0000238,0.00783,0.0009,0.0000104,0.00000491,0.00000146,0.000002,0.000811,0.000356,0.0000781,0.000092,0.000126,0.0000837,0.00115,0.000252,0.00383,0.00852
99.0,0.00246,7.92E-01,8.29E-02,0.000288,0.04,0.000339,0,0.0724,0.00154,0.0000351,0.00928,0.001,0.0000115,0.00000544,0.00000161,0.00000222,0.000963,0.000424,0.000094,0.000109,0.00014,0.0000933,0.00136,0.000281,0.00453,0.0101
100.0,0.00248,7.89E-01,8.28E-02,0.000288,0.0399,0.000337,0,0.0737,0.00158,0.0000493,0.011,0.00112,0.0000128,0.00000606,0.00000178,0.00000249,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
101.0,0.00251,7.86E-01,8.27E-02,0.000287,0.0397,0.000336,0,0.0749,0.00161,0.0000667,0.0129,0.00126,0.0000144,0.00000678,0.00000199,0.0000028,0.00135,0.000595,0.000134,0.000152,0.000176,0.000117,0.00189,0.000353,0.00628,0.0139
102.0,0.00254,7.83E-01,8.25E-02,0.000286,0.0396,0.000335,0,0.0761,0.00165,0.0000874,0.0152,0.00143,0.0000162,0.00000762,0.00000222,0.00000317,0.00159,0.000701,0.000159,0.000178,0.000199,0.000133,0.00222,0.0004,0.00737,0.0163
103.0,0.00258,7.79E-01,8.22E-02,0.000286,0.0394,0.000333,0,0.0773,0.00169,0.000112,0.0178,0.00163,0.0000183,0.00000861,0.0000025,0.00000361,0.00186,0.000823,0.000188,0.000209,0.000227,0.000151,0.0026,0.000454,0.00862,0.0191
104.0,0.00261,7.75E-01,8.20E-02,0.000285,0.0392,0.000331,0,0.0784,0.00173,0.00014,0.0207,0.00186,0.0000208,0.00000975,0.00000281,0.00000413,0.00217,0.000963,0.000222,0.000243,0.000259,0.000173,0.00303,0.000519,0.0101,0.0222
105.0,0.00264,7.71E-01,8.17E-02,0.000284,0.039,0.00033,0,0.0795,0.00177,0.000171,0.0241,0.00213,0.0000237,0.0000111,0.00000318,0.00000474,0.00253,0.00112,0.000259,0.000283,0.000297,0.000198,0.00352,0.000595,0.0117,0.0258
106.0,0.00268,7.66E-01,8.13E-02,0.000282,0.0387,0.000328,0,0.0806,0.0018,0.000207,0.0278,0.00245,0.0000272,0.0000127,0.0000036,0.00000545,0.00293,0.0013,0.000302,0.000327,0.000341,0.000228,0.00407,0.000684,0.0135,0.0299
107.0,0.00272,7.61E-01,8.10E-02,0.000281,0.0385,0.000325,0,0.0816,0.00184,0.000247,0.032,0.00283,0.0000311,0.0000145,0.0000041,0.00000628,0.00339,0.0015,0.000351,0.000376,0.000394,0.000262,0.00469,0.000788,0.0156,0.0344
108.0,0.00276,7.56E-01,8.05E-02,0.00028,0.0382,0.000323,0,0.0826,0.00188,0.000291,0.0367,0.00326,0.0000358,0.0000166,0.00000466,0.00000726,0.00389,0.00173,0.000405,0.000431,0.000454,0.000303,0.00538,0.000909,0.0179,0.0395
109.0,0.0028,7.50E-01,8.00E-02,0.000278,0.0379,0.00032,0,0.0836,0.00192,0.000339,0.0419,0.00376,0.0000411,0.000019,0.00000531,0.00000839,0.00445,0.00198,0.000465,0.000493,0.000525,0.00035,0.00614,0.00105,0.0205,0.0452
110.0,0.00285,7.44E-01,7.95E-02,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,0.0000472,0.0000218,0.00000604,0.00000969,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110.5,0.00287,7.40E-01,7.92E-02,0.000275,0.0374,0.000316,0,0.0848,0.00197,0.000419,0.0508,0.00466,0.0000506,0.0000233,0.00000645,0.0000104,0.00541,0.00241,0.000568,0.000597,0.00065,0.000434,0.00744,0.0013,0.025,0.0549
111.0,0.00289,7.37E-01,7.89E-02,0.000274,0.0372,0.000315,0,0.0852,0.00199,0.000447,0.0541,0.00501,0.0000542,0.0000249,0.00000688,0.0000112,0.00576,0.00257,0.000606,0.000635,0.000698,0.000466,0.00792,0.0014,0.0266,0.0585
111.5,0.00292,7.33E-01,7.85E-02,0.000273,0.037,0.000313,0,0.0856,0.002,0.000477,0.0575,0.00537,0.000058,0.0000267,0.00000734,0.000012,0.00613,0.00274,0.000645,0.000675,0.00075,0.0005,0.00842,0.0015,0.0283,0.0623
112.0,0.00295,7.29E-01,7.82E-02,0.000271,0.0368,0.000311,0,0.086,0.00202,0.000507,0.061,0.00576,0.0000621,0.0000285,0.00000782,0.0000129,0.00652,0.00291,0.000687,0.000717,0.000804,0.000536,0.00894,0.00161,0.0301,0.0662
112.5,0.00297,7.25E-01,7.78E-02,0.00027,0.0366,0.00031,0,0.0863,0.00204,0.000539,0.0648,0.00618,0.0000664,0.0000305,0.00000834,0.0000138,0.00692,0.00309,0.000731,0.000761,0.000862,0.000575,0.00948,0.00172,0.032,0.0703
113.0,0.003,7.21E-01,7.75E-02,0.000269,0.0364,0.000308,0,0.0866,0.00205,0.000571,0.0686,0.00662,0.000071,0.0000326,0.00000888,0.0000148,0.00735,0.00328,0.000776,0.000807,0.000923,0.000616,0.0101,0.00185,0.034,0.0746
113.5,0.00303,7.17E-01,7.71E-02,0.000268,0.0362,0.000306,0,0.0869,0.00207,0.000604,0.0727,0.00708,0.0000759,0.0000347,0.00000946,0.0000158,0.00779,0.00348,0.000823,0.000854,0.000989,0.000659,0.0106,0.00198,0.036,0.0791
114.0,0.00306,7.12E-01,7.67E-02,0.000266,0.036,0.000304,0,0.0872,0.00208,0.000639,0.0769,0.00757,0.000081,0.0000371,0.0000101,0.0000169,0.00825,0.00369,0.000873,0.000904,0.00106,0.000705,0.0113,0.00211,0.0381,0.0838
114.5,0.00309,7.08E-01,7.63E-02,0.000265,0.0357,0.000302,0,0.0874,0.0021,0.000674,0.0813,0.00809,0.0000864,0.0000395,0.0000107,0.0000181,0.00873,0.00391,0.000925,0.000956,0.00113,0.000754,0.0119,0.00226,0.0404,0.0887
